weight1,weight2,wins1,wins2,age1,age2,height1,height2,result
401,379,6,5,35,31,190,184,1
344,370,8,11,36,34,189,192,1
351,245,3,2,22,27,189,169,0
335,291,3,12,32,30,177,176,0
375,306,0,0,35,28,186,185,0
326,295,1,2,29,30,173,174,0
355,375,4,7,25,27,176,185,1
311,328,2,2,22,31,185,183,0
386,333,2,5,37,28,187,187,1
289,366,2,1,27,29,180,184,1
366,359,0,2,24,25,189,175,1
306,364,1,7,26,30,186,182,1
373,406,8,20,29,32,179,187,1
399,357,7,4,30,28,192,182,0
364,315,2,1,28,28,179,188,0
392,326,1,5,28,26,185,148,1
344,419,10,10,35,33,186,181,1
315,311,4,6,34,30,182,183,0
344,401,18,11,36,35,189,190,0
379,370,3,5,31,34,184,192,1
335,351,0,3,32,22,177,189,0
245,291,12,11,27,30,169,176,0
326,375,1,1,29,35,173,186,1
306,295,1,6,28,30,185,174,0
328,355,7,3,31,25,183,176,0
375,357,6,6,27,28,185,182,1
289,386,5,0,27,37,180,189,0
366,333,5,6,29,28,184,187,0
373,141,3,0,29,22,179,185,0
306,356,3,6,26,25,186,175,0
366,364,2,0,24,30,189,182,1
399,406,11,12,30,32,192,187,1
351,247,1,1,27,25,193,171,0
364,315,2,1,28,28,179,188,0
395,364,1,2,22,34,189,191,1
392,326,1,5,28,26,185,179,1
344,419,10,10,35,33,186,181,1
315,311,4,6,34,30,182,183,0
344,401,18,11,36,35,189,190,0
379,370,3,5,31,34,184,192,1
306,359,3,6,26,25,186,175,0
306,388,1,0,22,19,178,186,1
293,351,6,6,38,30,176,173,0
346,379,4,3,27,26,180,172,0
351,434,0,0,25,35,175,193,1
220,295,1,2,27,26,168,182,0
417,390,4,6,35,27,183,188,1
331,397,1,0,21,29,190,185,0
328,390,6,1,25,27,183,185,1
437,289,2,0,28,26,190,180,1
359,337,4,2,31,31,182,190,0
302,357,0,0,29,29,176,171,0
364,247,2,1,28,25,179,171,0
364,251,3,5,34,27,191,193,0
315,392,2,3,28,28,188,185,1
419,395,0,1,33,22,181,189,0
326,315,5,5,26,34,179,182,0
401,344,13,12,35,35,190,186,1
344,311,7,7,36,30,189,183,0
351,379,4,2,22,31,189,184,1
370,245,4,4,34,27,192,169,0
335,306,1,1,32,28,177,185,0
326,291,2,1,29,30,173,176,1
375,295,4,0,35,30,186,174,0
355,386,5,5,25,37,176,189,0
311,366,3,0,22,29,185,184,1
375,333,1,4,27,28,185,187,0
357,364,11,7,28,30,182,182,1
373,366,1,1,29,24,179,189,0
373,366,1,1,29,24,179,189,0
406,359,8,9,32,25,187,175,1
399,306,6,0,30,26,192,186,1
306,302,3,3,22,29,178,176,1
320,351,0,2,30,30,171,173,1
351,357,2,2,25,29,175,171,1
388,379,1,0,19,26,186,172,1
377,434,0,0,26,35,180,193,1
417,293,5,7,35,38,183,176,1
220,346,1,1,27,27,168,180,0
397,390,4,3,29,27,185,188,1
295,328,1,1,26,25,182,183,0
331,337,0,1,21,31,190,190,0
326,390,1,1,31,27,181,185,0
437,441,5,8,28,30,190,184,0
379,289,0,0,31,26,177,180,0
359,368,3,3,31,32,182,186,0
395,247,2,3,22,25,189,171,0
419,392,7,6,33,28,181,185,1
364,326,4,4,35,26,191,179,1
344,351,4,5,35,27,186,193,1
364,315,0,0,28,35,179,182,1
306,377,0,2,22,26,178,180,1
351,302,0,0,25,29,175,176,0
357,379,1,1,29,26,171,172,0
293,434,11,12,38,35,176,193,0
417,320,2,0,35,30,183,171,1
388,295,0,0,19,26,186,182,0
351,390,5,3,30,27,173,188,0
359,346,3,2,31,28,182,180,0
437,390,5,7,28,27,190,1885,0
289,337,0,0,26,31,180,190,1
326,220,1,0,31,27,181,168,1
379,328,0,0,31,25,177,183,0
397,368,8,7,29,32,185,186,0
395,337,0,1,22,31,189,190,0
419,351,8,5,33,27,181,193,0
401,364,0,1,35,35,190,191,0
326,311,6,3,26,30,179,183,1
344,392,5,0,36,26,189,185,1
351,247,3,0,22,25,189,171,1
344,370,17,13,35,34,186,192,0
335,315,3,5,32,35,177,182,0
364,245,0,1,28,27,179,169,1
379,291,0,5,31,30,184,176,1
315,375,0,1,28,27,188,185,0
366,328,8,9,29,31,184,183,0
306,306,2,2,26,28,186,185,0
406,375,21,9,32,35,187,186,1
311,366,3,3,22,24,185,189,1
386,357,10,8,37,28,189,182,0
295,364,1,2,30,30,174,182,0
373,333,9,2,29,28,179,187,0
357,403,4,7,28,35,182,190,1
364,291,3,2,24,22,188,187,0
362,309,4,3,27,34,185,183,0
390,340,4,2,32,27,187,188,0
384,359,12,10,29,25,180,175,1
368,287,4,3,30,27,183,181,1
344,375,14,7,35,35,186,186,1
245,311,5,6,27,30,169,183,1
315,247,1,0,28,25,188,171,0
351,326,1,1,22,26,189,179,1
370,366,5,6,34,29,192,184,0
344,295,2,4,36,30,189,174,1
401,315,10,8,36,35,190,182,1
